Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
316,2,00:00:00:00:00:12,00:00:00:00:00:13,34,perm_block
316,2,00:00:00:00:00:16,00:00:00:00:00:13,30,perm_block
326,1,00:00:00:00:00:16,00:00:00:00:00:13,31,perm_block
326,2,00:00:00:00:00:16,00:00:00:00:00:13,31,perm_block
331,1,00:00:00:00:00:16,00:00:00:00:00:13,32,perm_block
331,1,00:00:00:00:00:12,00:00:00:00:00:13,33,perm_block
331,2,00:00:00:00:00:16,00:00:00:00:00:13,32,perm_block
331,2,00:00:00:00:00:12,00:00:00:00:00:13,35,perm_block
336,2,00:00:00:00:00:16,00:00:00:00:00:13,33,perm_block
336,2,00:00:00:00:00:12,00:00:00:00:00:13,36,perm_block
336,1,00:00:00:00:00:16,00:00:00:00:00:13,33,perm_block
336,1,00:00:00:00:00:12,00:00:00:00:00:13,34,perm_block
341,1,00:00:00:00:00:16,00:00:00:00:00:13,34,perm_block
341,1,00:00:00:00:00:12,00:00:00:00:00:13,35,perm_block
341,2,00:00:00:00:00:16,00:00:00:00:00:13,34,perm_block
341,2,00:00:00:00:00:12,00:00:00:00:00:13,37,perm_block
346,1,00:00:00:00:00:12,00:00:00:00:00:13,36,perm_block
346,2,00:00:00:00:00:12,00:00:00:00:00:13,38,perm_block
361,1,00:00:00:00:00:16,00:00:00:00:00:13,35,perm_block
361,2,00:00:00:00:00:16,00:00:00:00:00:13,35,perm_block
366,1,00:00:00:00:00:16,00:00:00:00:00:13,36,perm_block
366,2,00:00:00:00:00:16,00:00:00:00:00:13,36,perm_block
371,1,00:00:00:00:00:16,00:00:00:00:00:13,37,perm_block
371,1,00:00:00:00:00:12,00:00:00:00:00:13,37,perm_block
371,2,00:00:00:00:00:16,00:00:00:00:00:13,37,perm_block
371,2,00:00:00:00:00:12,00:00:00:00:00:13,39,perm_block
376,2,00:00:00:00:00:12,00:00:00:00:00:13,40,perm_block
376,1,00:00:00:00:00:12,00:00:00:00:00:13,38,perm_block
381,1,00:00:00:00:00:16,00:00:00:00:00:13,38,perm_block
381,2,00:00:00:00:00:16,00:00:00:00:00:13,38,perm_block
386,1,00:00:00:00:00:16,00:00:00:00:00:13,39,perm_block
386,1,00:00:00:00:00:12,00:00:00:00:00:13,39,perm_block
386,2,00:00:00:00:00:16,00:00:00:00:00:13,39,perm_block
386,2,00:00:00:00:00:12,00:00:00:00:00:13,41,perm_block
391,1,00:00:00:00:00:16,00:00:00:00:00:13,40,perm_block
391,2,00:00:00:00:00:16,00:00:00:00:00:13,40,perm_block
396,1,00:00:00:00:00:16,00:00:00:00:00:13,41,perm_block
396,1,00:00:00:00:00:12,00:00:00:00:00:13,40,perm_block
396,2,00:00:00:00:00:16,00:00:00:00:00:13,41,perm_block
396,2,00:00:00:00:00:12,00:00:00:00:00:13,42,perm_block
401,2,00:00:00:00:00:16,00:00:00:00:00:13,42,perm_block
401,2,00:00:00:00:00:12,00:00:00:00:00:13,43,perm_block
401,1,00:00:00:00:00:16,00:00:00:00:00:13,42,perm_block
401,1,00:00:00:00:00:12,00:00:00:00:00:13,41,perm_block
406,1,00:00:00:00:00:12,00:00:00:00:00:13,42,perm_block
406,2,00:00:00:00:00:12,00:00:00:00:00:13,44,perm_block
411,1,00:00:00:00:00:12,00:00:00:00:00:13,43,perm_block
411,2,00:00:00:00:00:12,00:00:00:00:00:13,45,perm_block
416,1,00:00:00:00:00:16,00:00:00:00:00:13,43,perm_block
416,1,00:00:00:00:00:12,00:00:00:00:00:13,44,perm_block
416,2,00:00:00:00:00:16,00:00:00:00:00:13,43,perm_block
416,2,00:00:00:00:00:12,00:00:00:00:00:13,46,perm_block
421,1,00:00:00:00:00:16,00:00:00:00:00:13,44,perm_block
421,2,00:00:00:00:00:16,00:00:00:00:00:13,44,perm_block
426,1,00:00:00:00:00:16,00:00:00:00:00:13,45,perm_block
426,1,00:00:00:00:00:12,00:00:00:00:00:13,45,perm_block
426,2,00:00:00:00:00:16,00:00:00:00:00:13,45,perm_block
426,2,00:00:00:00:00:12,00:00:00:00:00:13,47,perm_block
431,1,00:00:00:00:00:16,00:00:00:00:00:13,46,perm_block
431,1,00:00:00:00:00:12,00:00:00:00:00:13,46,perm_block
431,2,00:00:00:00:00:16,00:00:00:00:00:13,46,perm_block
431,2,00:00:00:00:00:12,00:00:00:00:00:13,48,perm_block
436,1,00:00:00:00:00:12,00:00:00:00:00:13,47,perm_block
436,2,00:00:00:00:00:12,00:00:00:00:00:13,49,perm_block
441,1,00:00:00:00:00:16,00:00:00:00:00:13,47,perm_block
441,2,00:00:00:00:00:16,00:00:00:00:00:13,47,perm_block
446,1,00:00:00:00:00:16,00:00:00:00:00:13,48,perm_block
446,1,00:00:00:00:00:12,00:00:00:00:00:13,48,perm_block
446,2,00:00:00:00:00:16,00:00:00:00:00:13,48,perm_block
446,2,00:00:00:00:00:12,00:00:00:00:00:13,50,perm_block
451,1,00:00:00:00:00:16,00:00:00:00:00:13,49,perm_block
451,2,00:00:00:00:00:16,00:00:00:00:00:13,49,perm_block
451,2,00:00:00:00:00:12,00:00:00:00:00:13,51,perm_block
456,1,00:00:00:00:00:16,00:00:00:00:00:13,50,perm_block
456,1,00:00:00:00:00:12,00:00:00:00:00:13,49,perm_block
456,2,00:00:00:00:00:16,00:00:00:00:00:13,50,perm_block
456,2,00:00:00:00:00:12,00:00:00:00:00:13,52,perm_block
461,1,00:00:00:00:00:16,00:00:00:00:00:13,51,perm_block
461,1,00:00:00:00:00:12,00:00:00:00:00:13,50,perm_block
461,2,00:00:00:00:00:16,00:00:00:00:00:13,51,perm_block
461,2,00:00:00:00:00:12,00:00:00:00:00:13,53,perm_block
466,1,00:00:00:00:00:12,00:00:00:00:00:13,51,perm_block
466,2,00:00:00:00:00:12,00:00:00:00:00:13,54,perm_block
471,1,00:00:00:00:00:16,00:00:00:00:00:13,52,perm_block
476,1,00:00:00:00:00:16,00:00:00:00:00:13,53,perm_block
481,1,00:00:00:00:00:12,00:00:00:00:00:13,52,perm_block
481,2,00:00:00:00:00:12,00:00:00:00:00:13,55,perm_block
486,1,00:00:00:00:00:12,00:00:00:00:00:13,53,perm_block
486,2,00:00:00:00:00:12,00:00:00:00:00:13,56,perm_block
491,1,00:00:00:00:00:16,00:00:00:00:00:13,54,perm_block
491,1,00:00:00:00:00:12,00:00:00:00:00:13,54,perm_block
491,2,00:00:00:00:00:16,00:00:00:00:00:13,52,perm_block
491,2,00:00:00:00:00:12,00:00:00:00:00:13,57,perm_block
496,1,00:00:00:00:00:16,00:00:00:00:00:13,55,perm_block
496,1,00:00:00:00:00:12,00:00:00:00:00:13,55,perm_block
496,2,00:00:00:00:00:16,00:00:00:00:00:13,53,perm_block
496,2,00:00:00:00:00:12,00:00:00:00:00:13,58,perm_block
506,2,00:00:00:00:00:12,00:00:00:00:00:13,59,perm_block
511,1,00:00:00:00:00:16,00:00:00:00:00:13,56,perm_block
511,2,00:00:00:00:00:16,00:00:00:00:00:13,54,perm_block
516,1,00:00:00:00:00:16,00:00:00:00:00:13,57,perm_block
516,1,00:00:00:00:00:12,00:00:00:00:00:13,56,perm_block
516,2,00:00:00:00:00:16,00:00:00:00:00:13,55,perm_block
516,2,00:00:00:00:00:12,00:00:00:00:00:13,60,perm_block
521,1,00:00:00:00:00:16,00:00:00:00:00:13,58,perm_block
521,1,00:00:00:00:00:12,00:00:00:00:00:13,57,perm_block
521,2,00:00:00:00:00:16,00:00:00:00:00:13,56,perm_block
521,2,00:00:00:00:00:12,00:00:00:00:00:13,61,perm_block
526,1,00:00:00:00:00:16,00:00:00:00:00:13,59,perm_block
526,2,00:00:00:00:00:16,00:00:00:00:00:13,57,perm_block
536,1,00:00:00:00:00:16,00:00:00:00:00:13,60,perm_block
536,1,00:00:00:00:00:12,00:00:00:00:00:13,58,perm_block
536,2,00:00:00:00:00:16,00:00:00:00:00:13,58,perm_block
536,2,00:00:00:00:00:12,00:00:00:00:00:13,62,perm_block
541,2,00:00:00:00:00:12,00:00:00:00:00:13,63,perm_block
541,1,00:00:00:00:00:12,00:00:00:00:00:13,59,perm_block
546,1,00:00:00:00:00:12,00:00:00:00:00:13,60,perm_block
546,2,00:00:00:00:00:12,00:00:00:00:00:13,64,perm_block
551,1,00:00:00:00:00:16,00:00:00:00:00:13,61,perm_block
551,1,00:00:00:00:00:12,00:00:00:00:00:13,61,perm_block
551,2,00:00:00:00:00:16,00:00:00:00:00:13,59,perm_block
551,2,00:00:00:00:00:12,00:00:00:00:00:13,65,perm_block
556,1,00:00:00:00:00:16,00:00:00:00:00:13,62,perm_block
556,1,00:00:00:00:00:12,00:00:00:00:00:13,62,perm_block
556,2,00:00:00:00:00:16,00:00:00:00:00:13,60,perm_block
556,2,00:00:00:00:00:12,00:00:00:00:00:13,66,perm_block
566,2,00:00:00:00:00:12,00:00:00:00:00:13,67,perm_block
566,1,00:00:00:00:00:16,00:00:00:00:00:13,63,perm_block
566,1,00:00:00:00:00:12,00:00:00:00:00:13,63,perm_block
571,2,00:00:00:00:00:12,00:00:00:00:00:13,68,perm_block
571,1,00:00:00:00:00:12,00:00:00:00:00:13,64,perm_block
576,2,00:00:00:00:00:12,00:00:00:00:00:13,69,perm_block
576,1,00:00:00:00:00:16,00:00:00:00:00:13,64,perm_block
576,1,00:00:00:00:00:12,00:00:00:00:00:13,65,perm_block
581,1,00:00:00:00:00:16,00:00:00:00:00:13,65,perm_block
581,1,00:00:00:00:00:12,00:00:00:00:00:13,66,perm_block
581,2,00:00:00:00:00:16,00:00:00:00:00:13,61,perm_block
581,2,00:00:00:00:00:12,00:00:00:00:00:13,70,perm_block
586,1,00:00:00:00:00:16,00:00:00:00:00:13,66,perm_block
586,1,00:00:00:00:00:12,00:00:00:00:00:13,67,perm_block
586,2,00:00:00:00:00:16,00:00:00:00:00:13,62,perm_block
586,2,00:00:00:00:00:12,00:00:00:00:00:13,71,perm_block
591,2,00:00:00:00:00:12,00:00:00:00:00:13,72,perm_block
591,1,00:00:00:00:00:12,00:00:00:00:00:13,68,perm_block
601,1,00:00:00:00:00:12,00:00:00:00:00:13,69,perm_block
606,1,00:00:00:00:00:12,00:00:00:00:00:13,70,perm_block
606,2,00:00:00:00:00:12,00:00:00:00:00:13,73,perm_block
611,1,00:00:00:00:00:16,00:00:00:00:00:13,67,perm_block
611,1,00:00:00:00:00:12,00:00:00:00:00:13,71,perm_block
611,2,00:00:00:00:00:16,00:00:00:00:00:13,63,perm_block
611,2,00:00:00:00:00:12,00:00:00:00:00:13,74,perm_block
616,1,00:00:00:00:00:16,00:00:00:00:00:13,68,perm_block
616,1,00:00:00:00:00:12,00:00:00:00:00:13,72,perm_block
616,2,00:00:00:00:00:16,00:00:00:00:00:13,64,perm_block
616,2,00:00:00:00:00:12,00:00:00:00:00:13,75,perm_block
621,1,00:00:00:00:00:12,00:00:00:00:00:13,73,perm_block
621,2,00:00:00:00:00:12,00:00:00:00:00:13,76,perm_block
