Seconds Since Start,Real Timestamp,Ethernet Src,Ethernet Dst,Protocol,Packet Count,Byte Count,Packet Rate,Byte Rate,CPU utilization,Duration (sec),Duration (nsec),Prediction,Priority,Idle Timeout,Hard Timeout,Datapath,Match Fields,Instructions
227,2025-04-23 12:17:11,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.55,53.61,7.3,1,828000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
227,2025-04-23 12:17:11,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.54,53.17,7.7,1,843000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
227,2025-04-23 12:17:11,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.54,53.41,7.7,1,835000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
232,2025-04-23 12:17:16,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.15,14.32,22.2,6,844000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
232,2025-04-23 12:17:16,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.15,14.34,22.2,6,836000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
232,2025-04-23 12:17:16,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.15,14.30,21.6,6,852000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
232,2025-04-23 12:17:16,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.15,14.35,21.6,6,831000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
237,2025-04-23 12:17:21,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.08,8.27,7.7,11,846000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
237,2025-04-23 12:17:21,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.08,8.28,7.7,11,838000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
237,2025-04-23 12:17:21,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.08,8.27,10.3,11,853000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
237,2025-04-23 12:17:21,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.08,8.28,10.3,11,832000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
242,2025-04-23 12:17:26,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.06,5.82,16.2,16,849000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
242,2025-04-23 12:17:26,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.06,5.82,16.2,16,841000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
242,2025-04-23 12:17:26,00:00:00:00:00:51,00:00:00:00:00:13,ICMP,1,98,0.06,5.81,14.3,16,856000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
242,2025-04-23 12:17:26,00:00:00:00:00:13,00:00:00:00:00:51,ICMP,1,98,0.06,5.82,14.3,16,835000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
277,2025-04-23 12:18:01,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,3,294,0.92,89.91,2.5,3,270000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
277,2025-04-23 12:18:01,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,3,294,0.92,90.55,2.5,3,247000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
277,2025-04-23 12:18:01,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,3,294,0.92,90.13,4.8,3,262000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
277,2025-04-23 12:18:01,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,3,294,0.92,90.35,4.8,3,254000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
282,2025-04-23 12:18:06,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,8,784,0.97,94.87,5.3,8,264000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
282,2025-04-23 12:18:06,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,8,784,0.97,94.96,5.3,8,256000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
282,2025-04-23 12:18:06,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,8,784,0.97,94.75,4.9,8,274000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
282,2025-04-23 12:18:06,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,8,784,0.97,95.02,4.9,8,251000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
287,2025-04-23 12:18:11,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,13,1274,0.98,96.03,2.6,13,266000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
287,2025-04-23 12:18:11,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,13,1274,0.98,96.09,2.6,13,258000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
287,2025-04-23 12:18:11,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,13,1274,0.98,95.96,0.0,13,276000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
287,2025-04-23 12:18:11,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,13,1274,0.98,96.13,0.0,13,253000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
292,2025-04-23 12:18:16,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,18,1764,0.99,96.56,14.3,18,268000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
292,2025-04-23 12:18:16,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,18,1764,0.99,96.60,14.3,18,260000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
292,2025-04-23 12:18:16,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,18,1764,0.98,96.51,5.0,18,277000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
292,2025-04-23 12:18:16,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,18,1764,0.99,96.64,5.0,18,254000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
297,2025-04-23 12:18:21,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,23,2254,0.99,96.86,0.0,23,271000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
297,2025-04-23 12:18:21,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,23,2254,0.99,96.89,0.0,23,263000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
297,2025-04-23 12:18:21,00:00:00:00:00:12,00:00:00:00:00:13,ICMP,23,2254,0.99,96.82,7.9,23,281000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:12', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
297,2025-04-23 12:18:21,00:00:00:00:00:13,00:00:00:00:00:12,ICMP,23,2254,0.99,96.91,7.9,23,258000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:12', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
