Timestamp,Eth Src,Action
2025-04-21 18:27:30,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:35,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:35,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:36,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:40,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:40,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:41,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:45,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:45,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:46,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:46,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:50,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:50,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:51,00:00:00:00:00:12,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:51,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
